CASE_NUMBER,DECISION_DATE,VISA_CLASS,CASE_RECEIVED_DATE,CASE_STATUS,CERTIFICATION_BEGIN_DATE,CERTIFICATION_END_DATE,PRIMARY/SUB,EMPLOYER_NAME,EMPLOYER_ADDRESS1,EMPLOYER_ADDRESS2,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,EMPLOYER_COUNTRY,EMPLOYER_PROVINCE,EMPLOYER_PHONE,EMPLOYER_PHONE_EXT,LAWFIRM_NAME,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_STATE,JOB_TITLE,SOC_CODE,SOC_TITLE,PRIMARY_CROP,NAICS_CODE,NBR_WORKERS_REQUESTED,NBR_WORKERS_CERTIFIED,FULL_TIME_POSITION,NATURE_OF_TEMPORARY_NEED,BASIC_NUMBER_OF_HOURS,HOURLY_WORK_SCHEDULE_AM,HOURLY_WORK_SCHEDULE_PM,BASIC_RATE_OF_PAY,BASIC_UNIT_OF_PAY,OVERTIME_RATE_FROM,OVERTIME_RATE_TO,OVERTIME_PAY_RANGE_UNIT,SUPERVISE_OTHER_EMP,SUPERVISE_HOW_MANY,EDUCATION_LEVEL,OTHER_EDU,MAJOR,SECOND_DIPLOMA,SECOND_DIPLOMA_MAJOR,TRAINING_REQ,NUM_MONTHS_TRAINING,NAME_REQD_TRAINING,EMP_EXPERIENCE_REQD,EMP_EXP_NUM_MONTHS,WORKSITE_CITY,WORKSITE_STATE,WORKSITE_POSTAL_CODE,OTHER_WORKSITE_LOCATION,ORGANIZATION_FLAG,SWA_NAME,JOB_IDNUMBER,JOB_START_DATE,JOB_END_DATE
H-300-16285-907387,2016-11-08,H-2A,2016-10-11,DETERMINATION ISSUED - CERTIFICATION,2016-12-08,2017-05-30,PRI,"PAUL, INC.",2354 HIGHWAY 64 WEST,,WAUCHULA,FL,33873,UNITED STATES OF AMERICA,,863-735-9200,,Florida Fruit & Vegetable Association,CHRISTINE SYNAN,MAITLAND,FL,Citrus Hand Harvester,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Citrus,,37,37,Y,Seasonal,36,07:00 AM,02:00 PM,$10.70,Hour,,,Hour,N,,None,N/A,N/A,N,,N,,,N,,Venus,FL,33960,Y,Association - Filing as Agent (H-2A Only),Department of Economic Opportunity,FL10322206,2016-10-10,2017-03-05
H-300-16285-920550,2016-10-25,H-2A,2016-10-11,DETERMINATION ISSUED - CERTIFICATION,2016-12-09,2017-05-27,PRI,"VCH Management, Inc.",5389 NW Lily Avenue,,Arcadia,FL,34266,UNITED STATES OF AMERICA,,863-494-0955,,Florida Fruit & Vegetable Association,CHRISTINE SYNAN,MAITLAND,FL,Citrus Hand Harvester,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Citrus,,50,50,Y,Seasonal,36,07:00 AM,01:00 PM,$10.70,Hour,,,Hour,N,,None,N/A,N/A,N,,N,,,N,,Arcadia,FL,34266,Y,Association - Filing as Agent (H-2A Only),Department of Economic Opportunity,FL10322534,2016-10-11,2017-03-04
H-300-16285-930785,2016-10-31,H-2A,2016-10-11,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2016-12-09,2017-03-16,PRI,"FARM OP, INC.",315 E. NEW MARKET ROAD,,IMMOKALEE,FL,34142,UNITED STATES OF AMERICA,,239-657-4421,,Florida Fruit and Vegetable Association,Christine Synan,Maitland,FL,Farmworker Tomatoes,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Tomatoes,423860,30,30,Y,Seasonal,36,07:00 AM,01:30 PM,$10.70,Hour,,,Hour,N,,None,N/A,N/A,N,,N,,,Y,1,LaBelle,FL,33935,Y,Association - Filing as Agent (H-2A Only),Department of Economic Opportunity,FL10322237,2016-10-10,2017-01-27
H-300-16285-973321,2016-10-18,H-2A,2016-10-11,DETERMINATION ISSUED - CERTIFICATION,2016-12-03,2017-07-15,PRI,Bart A. Gilbert,8187 East Whitney Street,,Crowley,LA,70526,UNITED STATES OF AMERICA,Acadia Parish,337-783-6608,,"LABOR SERVICES INTERNATIONAL, LLC",ELAINE TRUJILLO,HENDERSON,NC,General Farmworker,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Crawfish,,9,9,Y,Seasonal,40,07:00 AM,04:00 PM,$10.69,Hour,,,Hour,N,,None,NA,NA,N,,N,,,Y,3,Crowley,LA,70526,Y,Individual Employer,LA Workforce Commission,648607,2016-10-06,2017-03-25
H-300-16285-985458,2016-11-04,H-2A,2016-10-11,DETERMINATION ISSUED - CERTIFICATION,2016-12-02,2017-04-30,PRI,Rick Neumiller,691 37th Ave NE,,Bowdon,ND,58418,UNITED STATES OF AMERICA,,701-653-5297,,USA FARM LABOR,MANUEL FICK,WAYNESVILLE,NC,Farm Ranch Animal Worker,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Sheep,,1,1,Y,Seasonal,48,08:00 AM,05:00 PM,$13.80,Hour,,,Hour,N,,None,N/A,N/A,N,,N,,,Y,3,Bowdon,ND,58418,N,Individual Employer,Job Service North Dakota,482568,2016-10-10,2017-02-14
H-300-16286-010404,2016-11-15,H-2A,2016-10-12,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2016-11-25,2016-12-31,PRI,Laura Orellana,210 Kilby Drive,P O Box 1828,Vidalia,GA,30475,UNITED STATES OF AMERICA,,912-380-0702,,David Harrell,David Harrell,Ailey,GA,Farm Workers,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Onions,,74,74,Y,Seasonal,40,07:00 AM,03:00 PM,$10.59,Hour,,,Hour,N,,None,,,N,,N,,,Y,3,Statesboro,GA,30461,N,H-2A Labor Contractor or Job Contractor,Georgia Department of Labor,782913210,2016-10-17,2016-12-13
H-300-16286-027743,2016-11-01,H-2A,2016-10-12,DETERMINATION ISSUED - PARTIAL CERTIFICATION EXPIRED,2016-11-01,2017-01-15,PRI,"McNeill Labor Management, Inc.",1407 West Ave. A,Mailing: PO Box 1807,Belle Glade,FL,33430,UNITED STATES OF AMERICA,,561-996-1148,,"AGWORKS H2, LLC",PATRICIA HALL,LAKE PARK,GA,Sugarcane Cutters and Planters,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Sugarcane,,49,48,Y,Seasonal,40,06:30 AM,02:30 PM,$10.70,Hour,,,Hour,N,,None,N/A,N/A,N,,N,,,Y,1,Belle Glade,FL,33430,Y,H-2A Labor Contractor or Job Contractor,"Florida Dept. of Economic Opportunity, Bureau of One-Stop & Program Support",10324928,2016-10-14,2016-11-30
H-300-16286-051853,2016-10-28,H-2A,2016-10-12,DETERMINATION ISSUED - CERTIFICATION,2016-12-05,2017-10-05,PRI,Gerald Porter Operating LLC,P.O BOX 1356,5866 Porter Road,Ft. Stockton,TX,79735,UNITED STATES OF AMERICA,,432-395-2445,,GENESIS V. SALMON,GENESIS SALMON,SAN ANGELO,TX,"Farmworkers, Farm, Ranch, and Animals",45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Cattle,423940,3,3,Y,Seasonal,40,07:00 AM,04:00 PM,$11.15,Hour,,,Hour,N,,None,,,N,,N,,,Y,3,Ft. Stockton,TX,79735,N,Individual Employer,Texas Workforce Commission,TX2956648,2016-10-07,2017-05-06
H-300-16286-066558,2016-11-17,H-2A,2016-10-12,DETERMINATION ISSUED - CERTIFICATION,2016-12-15,2017-05-17,PRI,Lionel S Barajas,117 Lake June Dr.,,Lake Placid,FL,33852,UNITED STATES OF AMERICA,,863-633-8079,,"CCH BOOKKEEPING, INC.",YOLANDA CELAYA,LAKE PLACID,FL,Harvest worker,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Citrus,,24,24,Y,Seasonal,36,07:30 AM,01:30 PM,$10.70,Hour,,,Hour,N,,None,,,N,,N,,,N,,Lake Placid,FL,33852,Y,H-2A Labor Contractor or Job Contractor,Florida Department of Economic Oportunity,10319488,2016-10-05,2017-03-02
H-300-16286-082510,2016-11-07,H-2A,2016-10-12,DETERMINATION ISSUED - CERTIFICATION,2016-12-01,2017-07-01,PRI,Earl Robinson,80 Old Lancaster Road,,Danville,KY,40422,UNITED STATES OF AMERICA,Boyle,859-319-7646,,Rebecca Short H2-A Agent,Rebecca Short,Yosemite,KY,Farm Worker Crop,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",General Farm Workers,,10,10,Y,Seasonal,40,08:00 AM,05:00 PM,$10.85,Hour,,,Hour,N,,None,,,N,,N,,,N,,Danville,KY,40422,N,Individual Employer,Kentucky Office of Training and Employment,654105331,2016-09-28,2017-03-17
H-300-16286-125146,2016-11-10,H-2A,2016-10-12,DETERMINATION ISSUED - PARTIAL CERTIFICATION,2016-12-01,2017-09-30,PRI,"FRUGE' AQUAFARMS, INC","Physical: 7172 Church Point Hwy, Branch, LA 70516","Mail: P O Box 393, Branch, LA 70516",Branch,LA,70516,UNITED STATES OF AMERICA,Acadia Parish,337-334-9620,,"Couch Application Service Assistance, L.L.C.","Kelly Couch (Casa, Manager)",New Roads,LA,General Farm Worker,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Rice,,20,16,Y,Seasonal,40,07:00 AM,04:00 PM,$10.69,Hour,,,Hour,N,,None,,,N,,N,,,Y,3,Branch,LA,70516,Y,Individual Employer,"LA Workforce Commission, Office of Workforce Development",647058,2016-09-28,2017-05-01
H-300-16286-154568,2016-10-21,H-2A,2016-10-12,DETERMINATION ISSUED - CERTIFICATION,2016-12-01,2017-07-31,PRI,Benjamin L. Leonards Farms,"Physical: 1010 Stakes Rd, Crowley, LA 70526","Mail: 1010 Stakes Rd, Crowley, LA 70526",Crowley,LA,70526,UNITED STATES OF AMERICA,Acadia Parish,337-581-7121,,"Couch Application Service Assistance, L. L. C.",Kelly Couch,New Roads,LA,General Farm Worker,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Soybeans,,12,12,Y,Seasonal,40,07:00 AM,04:00 PM,$10.69,Hour,,,Hour,N,,None,N/A,N/A,N,,N,,,Y,3,Crowley,LA,70526,Y,Individual Employer,"LA Workforce Commission, Office of Workforce Development",647048,2016-09-28,2017-04-01
H-300-16286-169172,2016-12-05,H-2A,2016-10-17,DETERMINATION ISSUED - CERTIFICATION,2016-11-30,2017-06-01,PRI,"HEAVEN'S HONEY, INC.",3176 HONEY LANE,N/A,FILLMORE,CA,73015,UNITED STATES OF AMERICA,N/A,805-521-1375,,"H2 VISA CONSULTANTS, LLC",ROBERT MCCUBBIN,MISSOULA,MT,BEEKEEPER HELPER,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Bees,,2,2,Y,Seasonal,40,08:00 AM,05:00 PM,$13.00,Hour,,,Hour,N,,None,N/A,N/A,N,,N,,,Y,3,FILLMORE,CA,73015,N,Individual Employer,CALIFORNIA SWA,15063998,2016-10-21,2017-03-01
H-300-16286-309410,2016-11-28,H-2A,2016-10-12,DETERMINATION ISSUED - CERTIFICATION,2016-11-26,2017-05-30,PRI,"SEBRING CITRUS, INC.",4533 STURGEON DR.,,SEBRING,FL,33870,UNITED STATES OF AMERICA,,863-381-0814,,,,,,CITRUS HARVESTING,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Valencia Oranges,,82,82,Y,Seasonal,36,07:00 AM,01:00 PM,$10.70,Hour,0,0,Hour,N,,None,,,N,,N,,,N,,Lakeland,FL,33810,Y,H-2A Labor Contractor or Job Contractor,"FLORIDA DEPARTMENT OF ECONOMIC OPPORTUNITY, ALIEN CERTIFICATION UNIT:  H-2A",FL10325941,2016-10-17,2017-02-14
H-300-16286-372707,2016-11-09,H-2A,2016-10-12,DETERMINATION ISSUED - CERTIFICATION,2016-12-10,2017-12-08,PRI,WESTERN RANGE ASSOCIATION,161 FIFTH AVENUE SOUTH,SUITE 100,TWIN FALLS,ID,83301,UNITED STATES OF AMERICA,,208-595-2226,,,,,,Sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Sheep,,2,2,Y,Seasonal,40,12:00 AM,12:00 PM,"$1,206.31",Month,,,Month,N,,None,n/a,n/a,N,,N,,,Y,3,HAGERMAN,ID,83332,Y,Association - Joint Employer (H-2A Only),Idaho State Workforce Agency,794276,2016-10-19,2017-06-09
H-300-16286-372707,2016-11-09,H-2A,2016-10-12,DETERMINATION ISSUED - CERTIFICATION,2016-12-10,2017-12-08,SUB,SALMON FALLS SHEEP PARTNERSHIP,18289 HWY 30,,HAGERMAN,ID,83332,UNITED STATES OF AMERICA,,208-595-2226,,,,,,Sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Sheep,,2,2,Y,Seasonal,40,12:00 AM,12:00 PM,"$1,206.31",Month,,,Month,N,,None,n/a,n/a,N,,N,,,Y,3,HAGERMAN,ID,83332,Y,,Idaho State Workforce Agency,794276,2016-10-19,2017-06-09
H-300-16286-389458,2016-11-15,H-2A,2016-10-12,DETERMINATION ISSUED - CERTIFICATION,2016-12-15,2017-04-30,PRI,Jackson Unruh Farms,241 49th Ave NE,,Sykeston,ND,58486,UNITED STATES OF AMERICA,,701-652-5022,,"USAFARMLABOR, Inc.",MANUEL FICK,WAYNESVILLE,NC,Ag. Equipment Operator,45-2091,Agricultural Equipment Operators,Agricultural Equipment Operators,423930,1,1,Y,Seasonal,48,08:00 AM,05:00 PM,$13.80,Hour,,,Hour,N,,None,n/a,n/a,N,,N,,,Y,3,Sykeston,ND,58486,N,Individual Employer,Job Service North Dakota,482659,2016-10-11,2017-02-21
H-300-16286-405984,2016-10-20,H-2A,2016-10-12,DETERMINATION ISSUED - CERTIFICATION,2016-12-02,2017-04-30,PRI,JACE D. SCHILLING,3449 91st Street SE,,Venturia,ND,58413,UNITED STATES OF AMERICA,,701-452-2415,,"USAFARMLABOR, INC",MANUEL FICK,WAYNESVILLE,NC,Farm Ranch Animal Worker,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Livestock,,1,1,Y,Seasonal,48,08:00 AM,05:00 PM,$13.80,Hour,,,Hour,N,,None,N/A,N/A,N,,N,,,Y,3,Venturia,ND,58413,N,Individual Employer,Job Service North Dakota,482639,2016-10-10,2017-02-14
H-300-16286-449543,2016-11-02,H-2A,2016-10-12,DETERMINATION ISSUED - CERTIFICATION,2016-12-15,2017-05-17,PRI,Juan Carlos Ramos,410 Grissom Rd.NW,,Lake PLacid,FL,33852,UNITED STATES OF AMERICA,,863-633-8376,,"CCH BOOKKEEPING, INC.",YOLANDA CELAYA,LAKE PLACID,FL,Harvest worker,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Citrus,,24,24,Y,Seasonal,36,07:30 AM,01:30 PM,$10.70,Hour,,,Hour,N,,None,,,N,,N,,,N,,Lake Placid,FL,33852,Y,H-2A Labor Contractor or Job Contractor,Florida Department of Economic Oportunity,10321153,2016-10-03,2017-03-02
H-300-16286-457437,2016-11-07,H-2A,2016-10-12,DETERMINATION ISSUED - CERTIFICATION,2016-12-09,2017-04-30,PRI,RANDY HUSCHKA,13311 1st Street SE,,Hope,ND,58046,UNITED STATES OF AMERICA,,701-789-0422,,"USAFARMLABOR, INC",MANUEL FICK,WAYNESVILLE,NC,Farm Ranch Animal Worker,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Livestock,,1,1,Y,Seasonal,48,08:00 AM,05:00 PM,$13.80,Hour,,,Hour,N,,None,n/a,n/a,N,,N,,,Y,3,Hope,ND,58046,N,Individual Employer,Job Service of North Dakota,482747,2016-10-11,2017-02-18
H-300-16286-636506,2016-11-01,H-2A,2016-10-12,DETERMINATION ISSUED - CERTIFICATION,2016-12-01,2017-09-30,PRI,GF & P Zaunbrecher Farms,"Physical: 3232 Crowley-Rayne Highway, Rayne, LA 70578","Mail: 3232 Crowley-Rayne Highway, Rayne, LA 70578",Rayne,LA,70578,UNITED STATES OF AMERICA,Acadia Parish,337-334-7791,,"Couch Application Service Assistance, L.L.C.","Kelly Couch (Casa, Manager)",New Roads,LA,General Farm Worker,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Soybeans,,10,10,Y,Seasonal,40,07:00 AM,04:00 PM,$10.69,Hour,,,Hour,N,,None,N/A,N/A,N,,N,,,Y,3,Rayne,LA,70578,Y,Individual Employer,"LA Workforce Commission, Office of Workforce Development",644868,2016-09-16,2017-05-01
H-300-16286-677184,2016-10-20,H-2A,2016-10-12,DETERMINATION ISSUED - CERTIFICATION,2016-12-15,2017-06-30,PRI,JOSE RAMIREZ,2798 NW Buck Creek Rd,PO Box 2903,Arcadia,FL,34266,UNITED STATES OF AMERICA,,863-990-1581,,"CCH BOOKKEEPING, INC.",YOLANDA CELAYA,LAKE PLACID,FL,Harvest worker,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Valencia Oranges,,45,45,Y,Seasonal,36,07:30 AM,01:30 PM,$10.70,Hour,,,Hour,N,,None,,,N,,N,,,N,,Arcadia,FL,34266,Y,H-2A Labor Contractor or Job Contractor,Florida Department of Economic Oportunity,10319563,2016-10-05,2017-03-24
H-300-16286-767101,2016-10-31,H-2A,2016-10-12,DETERMINATION ISSUED - DENIED,2016-12-01,2017-06-01,PRI,"P. MARIN HARVESTING, INC.",11 ORANGE ST.,,AVON PARK,FL,33825,UNITED STATES OF AMERICA,,863-368-1671,,,,,,CITRUS HARVESTING,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Oranges,,20,0,Y,Seasonal,36,07:00 AM,01:00 PM,$10.70,Hour,,,Hour,N,,None,,,N,,N,,,N,,,FL,,Y,H-2A Labor Contractor or Job Contractor,"FLORIDA DEPARTMENT OF ECONOMIC OPPORTUNITY, ALIEN CERTIFICATION UNIT: H-2A",,,
H-300-16286-780398,2017-01-06,H-2A,2016-11-22,DETERMINATION ISSUED - CERTIFICATION,2017-02-01,2017-11-20,PRI,"S T Organics, LLC",39525 WCR 136,P.O. Box 28,Hereford,CO,80732,UNITED STATES OF AMERICA,n/a,970-895-2296,,GOLDEN OPPORTUNITIES INT. LLC,HELEEN VAN TONDER,MC GREGOR,IA,Farm Machine Operator,45-2091,Agricultural Equipment Operators,Beans,,2,2,Y,Seasonal,40,08:00 AM,05:00 PM,$11.27,Hour,,,Hour,N,,None,,,N,,N,,,Y,3,Hereford,CO,80732,N,Individual Employer,Colorado Department of Labor and Employment Workforce Development Programs,CO6760908,2016-11-18,2017-06-27
H-300-16287-034692,2016-12-29,H-2A,2016-10-17,DETERMINATION ISSUED - CERTIFICATION,2017-01-15,2018-01-14,PRI,MARK BLAKEMAN,13666 Los Verjeles Rd.,,Marysville,CA,95901,UNITED STATES OF AMERICA,,530-743-9537,,"Peak Season Labor, Inc.",Diane Thibeault,Lewistown,MT,Sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Sheep,,2,2,Y,Peakload,48,12:05 AM,11:55 PM,"$1,777.98",Month,,,Month,N,,None,,,N,,N,,,Y,6,Marysville,CA,95901,Y,Individual Employer,California Employment Development Department,15063268,2016-10-21,2017-07-16
H-300-16287-071689,2016-10-28,H-2A,2016-10-13,DETERMINATION ISSUED - CERTIFICATION,2016-12-01,2017-06-30,PRI,"Landry Crawfish Farm, LLC","Physical: 314 Kollitz Street, Estherwood, LA 70534","Mail: P O Box 274, Estherwood, LA 70534",Estherwood,LA,70534,UNITED STATES OF AMERICA,Acadia Parish,337-783-5238,,"Couch Application Service Assistance, L.L.C.","Kelly Couch (Casa, Manager)",New Roads,LA,General Farm Worker,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Crawfish,,4,4,Y,Seasonal,40,07:00 AM,04:00 PM,$10.69,Hour,,,Hour,N,,None,,,N,,N,,,Y,3,Estherwood,LA,70534,Y,Individual Employer,"LA Workforce Commission, Office of Workforce Development",647054,2016-09-28,2017-03-16
H-300-16287-072850,2016-10-28,H-2A,2016-10-13,DETERMINATION ISSUED - CERTIFICATION,2016-12-01,2017-11-29,PRI,Sandy Webster,"758 South Ridge Rd., Cedar City UT 84720","758 South Ridge Rd., Cedar City UT 84720",Cedar City,UT,84720,UNITED STATES OF AMERICA,n/a,435-559-8484,,MPAS,SANDRA STUNTEBECK,Casper,WY,Sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Sheep,,1,1,Y,Seasonal,60,12:00 AM,12:00 AM,"$1,206.31",Month,,,Month,N,,None,N/A,N/A,N,,N,,,Y,6,Cedar City,UT,84721,Y,Association - Filing as Agent (H-2A Only),UT State Workforce,1145911,2016-10-13,2017-06-01
H-300-16287-190511,2016-11-16,H-2A,2016-10-21,DETERMINATION ISSUED - CERTIFICATION,2016-12-15,2017-07-14,PRI,GOLDEN FRESH FARMS LP,102 PROGRESS DRIVE,,WAPAKONETA,OH,45895,UNITED STATES OF AMERICA,,519-796-2969,,BUTZEL LONG,SCOTT PATTERSON,BLOOMFIELD HILLS,MI,Greenhouse Laborer,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Nursery and Greenhouse Worker,42391,46,46,Y,Peakload,40,07:00 AM,04:00 PM,$12.07,Hour,,,Hour,N,,None,,,N,,N,,,Y,3,Wapakoneta,OH,45895,N,Individual Employer,Ohio Department of Jobs and Family Services,3270837,2016-10-19,2017-03-30
H-300-16287-207150,2016-12-23,H-2A,2016-11-21,DETERMINATION ISSUED - CERTIFICATION,2017-02-01,2017-11-01,PRI,Stampfel Ranch,794 Willow Creek Road,,Red Lodge,MT,59068,UNITED STATES OF AMERICA,,406-425-1224,,"PEAK SEASON LABOR, INC.",DIANE THIBEAULT,LEWISTOWN,MT,General Farm Ranch,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Cattle,,1,1,Y,Seasonal,54,07:00 AM,05:00 PM,$11.75,Hour,,,Hour,N,,None,,,N,,N,,,Y,3,Red Lodge,MT,59068,N,Individual Employer,Billings Job Service,10250783,2016-11-18,2017-07-01
H-300-16287-211399,2016-11-07,H-2A,2016-10-13,DETERMINATION ISSUED - CERTIFICATION,2016-12-01,2017-09-15,PRI,"Landry Crawfish Farm, LLC","Physical: 314 Kollitz Street, Estherwood, LA  70534","Mail: P O Box 274,  Estherwood, LA  70534",Estherwood,LA,70534,UNITED STATES OF AMERICA,Acadia Parish,337-783-5238,,"Couch Application Service Assistance, L.L.C.","Kelly Couch (Casa, Manager)",New Roads,LA,General Farm Worker,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Crawfish,,2,2,Y,Seasonal,40,07:00 AM,04:00 PM,$10.69,Hour,,,Hour,N,,None,N/A,N/A,N,,N,,,Y,3,Estherwood,LA,70534,Y,Individual Employer,"LA Workforce Commission, Office of Workforce Development",647022,2016-09-28,2017-04-24
H-300-16287-237688,2016-11-15,H-2A,2016-10-13,DETERMINATION ISSUED - CERTIFICATION,2016-12-15,2017-06-05,PRI,VERNON E. FAIRCHILD JR.,4297 NORTH 1400 EAST,n/a,BUHL,ID,83316,UNITED STATES OF AMERICA,n/a,208-543-5531,,,,,,sheep shearer,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Sheep,,15,15,Y,Seasonal,48,08:00 AM,05:00 PM,$11.27,Hour,,,Hour,N,,None,n/a,n/a,N,,N,,,Y,1,Wilder,ID,83676,Y,H-2A Labor Contractor or Job Contractor,Idaho Department of Labor,842944,2016-10-06,2017-03-11
H-300-16287-261446,2016-12-14,H-2A,2016-10-19,DETERMINATION ISSUED - CERTIFICATION,2017-01-15,2018-01-14,PRI,MCNABB FARMS PARTNERSHIP,976 West McNabb Road,,Inkom,ID,83245,UNITED STATES OF AMERICA,,208-775-3633,,"Peak Season Labor, Inc.",Diane Thibeault,Lewistown,MT,Sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Sheep,,1,1,Y,Seasonal,48,12:05 AM,11:55 PM,"$1,356.00",Month,,,Month,N,,None,,,N,,N,,,Y,6,Inkom,ID,83245,Y,Individual Employer,Idaho Department of Labor - Boise,853926,2016-10-24,2017-07-16
H-300-16287-283913,2016-11-08,H-2A,2016-10-13,DETERMINATION ISSUED - CERTIFICATION,2016-12-10,2017-12-08,PRI,WESTERN RANGE ASSOCIATION,161 FIFTH AVENUE SOUTH,SUITE 100,TWIN FALLS,ID,83301,UNITED STATES OF AMERICA,,208-595-2226,,,,,,Sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Sheep,,1,1,Y,Seasonal,40,12:00 AM,12:00 PM,"$1,777.98",Month,,,Month,N,,None,n/a,n/a,N,,N,,,Y,3,BRAWLEY,CA,92227,Y,Association - Joint Employer (H-2A Only),CALIFORNIA EMPLOYMENT DEVEL. DEPT,15060249,,2017-06-09
H-300-16287-283913,2016-11-08,H-2A,2016-10-13,DETERMINATION ISSUED - CERTIFICATION,2016-12-10,2017-12-08,SUB,AUZA FARMS INC.,4451 DIETRICH ROAD,,BRAWLEY,CA,92227,UNITED STATES OF AMERICA,,208-595-2226,,,,,,Sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Sheep,,1,1,Y,Seasonal,40,12:00 AM,12:00 PM,"$1,777.98",Month,,,Month,N,,None,n/a,n/a,N,,N,,,Y,3,BRAWLEY,CA,92227,Y,,CALIFORNIA EMPLOYMENT DEVEL. DEPT,15060249,,2017-06-09
H-300-16287-310351,2017-01-09,H-2A,2016-10-27,DETERMINATION ISSUED - CERTIFICATION,2017-02-01,2017-11-30,PRI,MCNABB FARMS PARTNERSHIP,976 West McNabb Road,,Inkom,ID,83245,UNITED STATES OF AMERICA,,208-775-3633,,"PEAK SEASON LABOR, INC.",DIANE THIBEAULT,LEWISTOWN,MT,Production of Livestock,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Sheep,,2,2,Y,Seasonal,48,12:05 AM,11:55 PM,"$1,356.00",Month,,,Month,N,,None,,,N,,N,,,Y,6,Inkom,ID,83245,Y,Individual Employer,Idaho Department of Labor - Boise,855904,2016-11-02,2017-07-02
H-300-16287-507886,2016-10-17,H-2A,2016-10-17,DETERMINATION ISSUED - WITHDRAWN,2017-02-01,2017-11-30,PRI,JOHN UHALDE AND CO.,PO Box 151088,,Ely,NV,89315,UNITED STATES OF AMERICA,,775-289-0599,,"PEAK SEASON LABOR, INC.",DIANE THIBEAULT,LEWISTOWN,MT,Production of Livestock,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Livestock,,4,0,Y,Seasonal,48,12:05 AM,11:55 PM,"$1,356.00",Month,,,Month,N,,None,,,N,,N,,,Y,6,Ely,NV,89315,Y,Individual Employer,Nevada Job Connect,,,
H-300-16287-512966,2016-11-02,H-2A,2016-10-13,DETERMINATION ISSUED - CERTIFICATION,2016-12-10,2017-12-08,PRI,WESTERN RANGE ASSOCIATION,161 FIFTH AVENUE SOUTH,SUITE 100,TWIN FALLS,ID,83301,UNITED STATES OF AMERICA,,208-595-2226,,,,,,Sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Sheep,,1,1,Y,Seasonal,40,12:00 AM,12:00 PM,"$1,777.98",Month,,,Month,N,,None,n/a,n/a,N,,N,,,Y,3,CLEARLAKE OAKS,CA,95423,Y,Association - Joint Employer (H-2A Only),California EDD,15060431,2016-10-19,2017-06-09
